article_id,event,location_prediction,date_prediction
0,"Amidst the critical and box-office success of 'The Kashmir Files', Vivek Agnihotri has repeatedly expressed how Bollywood has snubbed Vivek Agnihotri.",,2022-03-14
1,"Savban Zahoor Khan, the owner of Muzzaffar Jewellers in Hari Singh High Street (HSHS) area of Srinagar, a popular and oldest market of jewellery shops, is sitting idle as no customer has visited Muzzaffar Jewellers in Hari Singh High Street (HSHS) area of Srinagar, a popular and oldest market of jewellery shops for the last many days.",['Hari Singh High Street'],2022-03-14
2,Vivek Agnihotri-directorial 'The Kashmir Files' is maintaining its stride at the box office amid the 'RRR' craze.,['Kashmir'],2022-03-29
3,"Fans have posted old newspaper clippings, news features, and videos.",,2022-03-15
3,Fans also tried to draw a parallel between the reel and real-life characters.,,2022-03-15
4,The mob was chanting 'Jai Shree Ram' slogans.,,2022-03-21
5,Here is all that rocked the world of entertainment news.,,2022-03-21
6,The city of Kota in Rajasthan has now imposed section 144 to 'maintain law and order in The city of Kota in Rajasthan during The Kashmir Files screening'.,"['Rajasthan', 'Rajasthan', 'Kashmir']",2022-03-22
7,"The Vivek Agnihotri-directorial raked in a total of Rs 234.03 crore as on Tuesday, as per film critic and trade analyst Taran Adarsh.",,2022-03-30
8,"At the start of the hearing, the judges asked the petitioner’s lawyer whether the petitioner’s lawyer bothered to read the court’s judgement against the PILs filed against the Alia Bhatt-starrer Gangubai Kathiawadi",,2022-03-09
9,The screening of Anupam Kher's The Kashmir Files was halted as a lot of chaos was witnessed at a theatre in Jammu.,['Kashmir Files'],2022-03-12
9,"On the other hand, Deepika Padukone's Instagram caption enraged Twitter.",['Kashmir Files'],2022-03-12
9,"Here's that, and more from the world of entertainment today.",['Kashmir Files'],2022-03-12
10,Chhattisgarh Chief Minister Bhupesh Baghel watched The Kashmir Files and criticised The Kashmir Files for showing 'half-truths'.,"['Chhattisgarh', 'Kashmir', 'Kashmir']",2022-03-17
10,The film released on March 11.,"['Chhattisgarh', 'Kashmir', 'Kashmir']",2022-03-11
11,The Kashmir Files filmmakers is being slammed on social media.,['Kashmir'],2022-03-27
12,The Kashmir Files will hit the silver screens in the UAE on April 7.,['Kashmir Files'],2022-04-07
12,Director Vivek Agnihotri called hit a 'big victory'.,['Kashmir Files'],2022-04-07
13,Kejriwal's comments have rubbed many the wrong way.,,2022-03-27
14,"Anupam Kher began the note by writing how there was once a Kashmiri Pandit boy called Bittu, son of a clerk, who went on to became an actor 'called Anupam Kher'.",,2022-03-25
15,"Anupam Kher's niece, Vrinda, opened up about how difficult it was to shoot the gruesome climax of The Kashmir Files.",['Kashmir'],2022-03-22
15,"On the other hand, Ranveer Singh condoled MC Tod Fod's sudden death.",['Kashmir'],2022-03-22
16,The Kashmir Files उत्तर प्रदेश में फिल्म को एक समय में अधिकतम 200 प्रिंट वीक की समयसीमा के अधीन एसजीएसटी की प्रतिपूर्ति इस तरह से की जाएगी कि फिल्म की संख्या और सप्ताह की संख्या का गुणांक 200 प्रिंट व स्क्रीन वीक से अधिक नहीं होगा।,['Kashmir'],2022-03-16
17,An army helicopter crashed in Tulail area of Gurez located in Jammu and Kashmir’s Bandipora district on Friday afternoon,"['Tulail', 'Gurez', 'Kashmir', 'Bandipora']",2022-03-11
18,"Condemning the Hindi film industry's silence on the film, Kangana wrote it's shocking that no Bollywood A-lister is talking about the film, despite the film's rave reviews from the audience and the critics.",,2022-03-13
19,'The Kashmir Files' is a movie that is close to home for Actor Yami Gautam and Actor Yami Gautam's husband and Director Aditya Dhar.,['Kashmir'],2022-03-14
20,The film’s total collections have crossed Rs 167 crore to settle at Rs 167.45 crore.,,2022-03-21
21,Vivek Agnihotri took to Twitter recently and announced that they will be building a 'genocide museum that will showcase Indian values of Humanity and Vishwa kalyan'.,,2022-03-26
22,"'He died heartbrokenly,' she said.",,2022-03-20
23,'द कश्मीर फाइल्स' (The Kashmir Files) के डायरेक्टर विवेक अग्निहोत्री (Vivek Agnihotri) को भारत सरकार के गृह मंत्रालय ने वाई कैटिगरी की सुरक्षा (Y Category Security...,['Kashmir Files'],2022-03-18
24,"Taapsee Pannu, while talking about The Kashmir Files, said that the film can't be a bad one if the film can collect such numbers.",['Kashmir'],2022-03-26
25,"Written and directed by Vivek Agnihotri and produced by Zee Studios, the film depicts the exodus of Kashmiri Hindus from Kashmir following systematic killings of people from the community by Pakistan-backed terrorists.",['Kashmir'],2022-03-14
26,"The film made Rs 2.25 crore on Wednesday, Rs 2.75 crore on Tuesday, Rs 3.10 crore on Monday, Rs 8.75 crore on Sunday, Rs 7.60 crore on Saturday and Rs 4.50 crore on Friday.",,2022-03-31
27,"In a video shared by photographer Viral Bhayani, Kangana can be seen heaping praises on the film and saying this the film is what Bollywood should be promoting.",['Kangana'],2022-03-15
28,"Owing to the popularity and the significance of a movie like 'The Kashmir Files,' the Madhya Pradesh government today announced that policemen in Madhya Pradesh would be granted leave to watch 'The Kashmir Files.","['Madhya Pradesh', 'Kashmir Files']",2022-03-14
29,"The Kashmir Files director Vivek Agnihotri has been given Y security cover by the central government, news agency ANI reported.",,2022-03-18
29,The Kashmir Files director Vivek Agnihotri will be guarded by seven to eight commandos of the CRPF round the clock.,,2022-03-18
30,This happened after the Muslim community raised concerns over the content of the film.,,2022-03-20
31,Vrinda Kher revealed that Bhasha Sumbli broke down while shooting for The Kashmir Files climax scene and that the 'emotions that came out were real'.,['Kashmir'],2022-03-22
32,Chhatisgarh CM Bhupesh Baghel said that The Kashmir Files shows only one side of the story.,,2022-03-17
32,"On the other hand, Sharmaji Namkeen trailer made fans emotional as fans remembered Rishi Kapoor.",,2022-03-17
32,"Here's all that, and more from the world of entertainment today.",,2022-03-17
33,Here's what happened.,,2022-03-24
34,"Kangana Ranaut, who has always been vocal about box office collections and movie releases, took to Kangana Ranaut, who has always been vocal about box office collections and movie releases's Instagram account to slam Bollywood for Bollywood's prolonged silence.",,2022-03-13
35,"Security forces neutralised two terrorists during an encounter in the Rainawari area of Srinagar on early Wednesday morning.According to the Jammu & Kashmir Police, one of two terrorists, identified as Rayees Ahmad Bhat, was a former journalist who ran an online news portal ‘Valley News Service’ in Anantnag.",['Rainawari'],2022-03-30
36,"Haryana was the first state to give tax exemption to the movie, with the state government asking cinema theatres and multiplexes to not charge state GST.",['Haryana'],2022-03-13
37,"After the severe cold and record snowfall, the spring season has knocked Kashmir.",['Kashmir'],2022-03-17
37,"As spring arrives in Kashmir valley, take a look at some breathtaking pictures seen with the blossom of almond flowers.",['Kashmir'],2022-03-17
38,"Whenever snowfall or a natural calamity hits Kashmir, the first casualty is the power supply, but there are unseen hands behind who ensure that the power supply gets restored at the earliest and unseen hands behind who ensure that it gets restored at the earliest are Power Development Department (PDD) daily wager linemen who work hard on the ground and forget their comfort for others.",['Kashmir'],2022-03-27
