news_id,news_title,event,location_prediction,village,district,state,date_prediction,event_type,url
62f7ce2ed1eafd03bd6feb3a,Ecotourism Is The Solution To Overtourism,Overtourism is a grave challenge that is harming the entire tourism industry.,,,,,[],strike,http://risingkashmir.com/news/ecotourism-is-the-solution-to-overtourism
62f7ce2ed1eafd03bd6feb3a,Ecotourism Is The Solution To Overtourism,"Overtourism has been covered in media and publications increasingly as a problem that stems from the very concept of travel, even if Overtourism encompasses just a small part of the very concept of travel.",,,,,[],strike,http://risingkashmir.com/news/ecotourism-is-the-solution-to-overtourism
62f7ce2ed1eafd03bd6feb3a,Ecotourism Is The Solution To Overtourism,"Overtourism is not only completely unsustainable, Overtourism is a growing problem that should be taken seriously.",,,,,[],strike,http://risingkashmir.com/news/ecotourism-is-the-solution-to-overtourism
62f7ce2ed1eafd03bd6feb3a,Ecotourism Is The Solution To Overtourism,"Policy responses to Overtourism are, in many cases, as clumsy and ill-considered as the policies which produced Overtourism in the first place.",,,,,[],strike,http://risingkashmir.com/news/ecotourism-is-the-solution-to-overtourism
62f7ce2ed1eafd03bd6feb3a,Ecotourism Is The Solution To Overtourism,Overtourism can negatively affect travelers’ sentiment as well as the small-scale sustainable tourism industry.,,,,,[],strike,http://risingkashmir.com/news/ecotourism-is-the-solution-to-overtourism
62f7ce2ed1eafd03bd6feb3a,Ecotourism Is The Solution To Overtourism,"Let us be clear from the outset: Overtourism does not result from ecotourism, and the principles of those who extol increasing tourism revenue to a destination at any cost are completely antithetical to those of ecotourism.",,,,,[],strike,http://risingkashmir.com/news/ecotourism-is-the-solution-to-overtourism
62f7ce2ed1eafd03bd6feb3a,Ecotourism Is The Solution To Overtourism,Overtourism—which in Overtourism—which in its simplest form is tourism that harms communities by overuse or destruction of resources through overcrowding's simplest form is tourism that harms communities by overuse or destruction of resources through overcrowding—stems from a lack of concern about destination community health and welfare.,,,,,[],strike,http://risingkashmir.com/news/ecotourism-is-the-solution-to-overtourism
62f7ce2ed1eafd03bd6feb3a,Ecotourism Is The Solution To Overtourism,"Again, a lack of concern about destination community health and welfare is entirely the opposite of the fundamental tenet of ecotourism.",,,,,[],strike,http://risingkashmir.com/news/ecotourism-is-the-solution-to-overtourism
62f7ce2ed1eafd03bd6feb3e,Islamia College organizes run for women,"The Cultural Committee, Islamia College of Science and Commerce organised a theme based ""Run for a Healthy Culture"" from Nehru Park to SKICC at 6 in the morning.",,,,,[],murder,http://risingkashmir.com/news/islamia-college-organizes-run-for-women-
62f7ce2ed1eafd03bd6feb3e,Islamia College organizes run for women,"Principal of Islamia College of Science and Commerce, Prof. Dr Sheikh Ajaz Bashir flagged off a theme based ""Run for a Healthy Culture"" and also accompanied the participants to boost the participants's morale.",,,,,[],murder,http://risingkashmir.com/news/islamia-college-organizes-run-for-women-
